Institution,Course Title,Link,Upcoming Date,Duration,Training Mode,Full Fee,Funded Fee,About This Course,What You'll Learn,Minimum Entry Requirement,Type,Job Title,Company,Location,Employment Type,Salary,Job Description
BELLS INSTITUTE OF HIGHER LEARNING PTE. LTD.,Be a Smart Digital Citizen,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022011455,16 Jan 25,3-5 days,Part Time,$362.50,$181.25,Recognize the Importance and the critical needs of digital Innovation in the workplace and society and to Apply functions within a phone and a range of smartphone applications to access life activities and alleviate productivity,"The course aims to equip individuals with digital literacy skills, particularly those required for use thru a smartphone or tablet. This is because, in general, there are more people who own a smartphone and tablet computer. Therefore, the focus on smartphones in our training will provide more benefit for our target learners. 
This program’s intention thru the guidelines in the TSC of Innovation Management – is to inculcate the awareness, mind-set and ability of individuals to confidently use digital workplace tools responsibly and effectively in order to solve problems, be productive, support well-being and thrive at work by processing and applying information and data, creating content, connecting and collaborating with other people, and reflecting on and adapting one’s digital practices. Having an Innovative mindset will play a key factor in the learner’s employability prospects and progress. 
Our program will include the following - 
1.    Introduction to the New World Of Technology - Cover a brief introduction of areas such as AI, IoT, Block Chain, Data Analytics, Cloud Computing, RPA etc. and how they impact our day to day lives
2.    Provide brief examples of the above-mentioned Technology via interesting videos and use cases. Examples to be focused on daily life es-sentials and also work
3.    How New Technologies is changing our world through the above brief examples? - To focus on mobile technology and how it is influencing work and life. 
4.    Introduction to different Mobile Technology and Applications
5.    Mobile Technology - Transforming your Work + Life - Smartphone innovation over the years (How have the phone transformed?) Use cas-es of work and industry uses of mobile phone technology
6.    Different Applications to be covered and thought in class - Zoom, Health Passport, Paylah & PayNow, Trace Together, Lala Move, Healthhub SG, NTUC App/Redmart App, Doctor Anywhere, Send Helper (Apps are focus on areas of Finance, Lifestyle, Health and W","Have at least upper Primary level education
Be able to speak, listen and read English at a proficiency level not lower than the Employability Skills Workforce Skills Qualification Workplace Literacy Level (WPL Level 3)
Have a least 2 years of relevant industry experience.",Courses,,,,,,
EFG TRAINING SERVICES PRIVATE LTD.,PERFORM WORK IN CONFINED SPACE OPERATION,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022014591,14 Jan 25,1-2 days,Full Time and Part Time,$120.00,$60.00,"CE1 - Identify duties and responsibilities of all personnel involved in confined space work under the WSH Legislations and Code of Practice
CE2 - Identify confined space hazards
CE3 - Use Gas Detection Instruments for atmospheric monitoring
CE4 - Comply with Permit-to-Work system and safe work procedures when working in confined space
CE5 - Participate in an Emergency for confined space","The Workplace Safety and Health Sect. 12 (3) stipulates that ""It shall be the duty of every employer to ensure that those person at any work have received adequate instruction, information, training and supervision as is necessary unless he has undergone a safety and health training course approved by the commissioner for Workplace Safety and Health"".

Participants are expected to be self-directed, with a mind to acquire skills and knowledge. They should be able to apply the acquired skill & knowledge to perform the duties of an entrant and attendant when working in a confined space, use gas detection instruments and participate in an emergency situation.","Participant must be able to read, speak and write in their medium of instruction at a proficiency level equal to Employability Skills System (ESS) Level 2",Courses,,,,,,
AESTHETICAR PTE. LTD.,Food Safety Course Level 1 (Chinese),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022016654,13 Jan 25,1-2 days,Part Time,$150.00,$75.00,"At the end of the course, learners will be able to:
• LO1. Practise good personal hygiene before, during and after handling food
• LO2. Select and use safe ingredients
• LO3. Handle food safely
• LO4. Store food safely
• LO5. Maintain cleanliness of equipment and premises
• LO6: Adopt good workplace safety habits","This course aims to equip food handlers of both retail and non-retail food establishments with the knowledge and application skills to follow food safety and hygiene procedures and policies, as well as maintain the cleanliness and upkeep of premises. This is a mandatory course for chefs, cooks, kitchen helpers, food stall assistants and anyone who is involved in the preparation and handling of food, and anyone planning to work in F&B establishments. Learners certified competent will meet the licensing requirement to work as food handlers.","Entry Requirements
• At least 16 years old
• Able to speak, listen, write, and read basic English or Mandarin Chinese
• No prior work experience required",Courses,,,,,,
XPRIENZ PTE. LTD.,PWM-Food Services: Food Safety Course Level 1 (Chinese),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020001279,14 Jan 25,1-2 days,Part Time,$150.00,$75.00,"This course is only for the low wage workers in the PWM-Food Services Sector.
On Completion of this unit, participants will have the knowledge and skills in following food & beverage safety and hygiene policies and procedures and be able to apply them at the workplace.
- Practising good personal hygiene
- Using safe ingredients
- Handling food safely
- Storing food safely
- Maintaining cleanliness of equipment and premises","CE1: Practise Good Personal Hygiene
CE2: Use Safe Ingredients
CE3: Handle Food Safely
CE4: Store Food Safely
CE5: Maintain Cleanliness of Equipment and Premises",,Courses,,,,,,
BELLS INSTITUTE OF HIGHER LEARNING PTE. LTD.,Introduction to E-commerce,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019504140,14 Jan 25,3-5 days,Full Time,$610.00,$305.00,To conduct pre-campaign testing and collect information pertaining to campaign performance,"1. Analysis and Design of Campaign
2. Development and Implementation of Campaign
3. Evaluation of Campaign",,Courses,,,,,,
NTUC LEARNINGHUB PTE. LTD.,Perform Work At Height,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013148,13 Jan 25,1-2 days,Part Time,$110.00,$55.00,"This course aims to present the content and activities aligned to the Workforce Skills Qualification (WSQ) WPH-GMS-1110-1.1 Perform Work At Height module.

The “Perform Work At Height” course aims to provide learners with the knowledge and skills in performing work at height in construction and other industry sectors.","At the end of this course, learners will acquire the knowledge and skills that would facilitate them to be able to:
1. Perform checks before and after use of Work at Height (WAH) equipment.
2. Perform proper use of WAH equipment in accordance to relevant legislation and guidelines, including evaluating use of fall arrest and fall prevention systems.
3. Perform self-relief techniques during harness suspension trauma situations.","• Employability Skills (ES) Workplace Literacy level 3 and above.
• Be able to manipulate numbers at a proficiency level equivalent to ES Workplace Numeracy level level 3 and above.",Courses,,,,,,
NTUC LEARNINGHUB PTE. LTD.,Manage Work At Height,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013149,13 Jan 25,3-5 days,Part Time,$370.00,$185.00,"This course aims to present the content and activities aligned to the Workforce Skills Qualification (WSQ) WPH-GMS-3309-1.1 Manage Work At Height module.

The “Manage Work At Height” course aims to provide learners with the knowledge and skills in planning, supervising, assessing and managing of work at heights.","At the end of this course, learners will acquire the knowledge and skills that would facilitate them to be able to:
1. Identify, explain and apply the relevant Workplace Safety and Health (WSH) legislation/Approved Code of Practice/Singapore Standards applicable to work at height.
2. Identify and explain the Roles & Responsibilities of stakeholders, competent and responsible persons.
3. Identify hazards, evaluate the risk, and implement control measures for work at height.
4. Review the necessary fall preventive / protective control measures for safe execution of work at height
5. Establish, evaluate, review and implement a Fall Prevention Plan
6. Establish and implement a system for effective monitoring and control of WAH risks
7. Don, check and correct Individual Fall Protection Equipment and respond to a fall emergency","Have at least WSQ ESS Workplace Literacy and Numeracy Level 4 and above or equivalent and the ability to carry out hazard identification, risk assessment, and risk control measures.",Courses,,,,,,
NTUC LEARNINGHUB PTE. LTD.,Occupational First Aid Course,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020500076,13 Jan 25,3-5 days,Part Time,$303.74,$151.87,"On completion of this unit, the learner will have knowledge and application skills in demonstrating first aid/CPR skills and be able to apply them in the workplace.","1. First-aid Requirements in Factories and Other Workplaces
2. Industrial Toxicology
3. Safety & Accident Prevention
4. Basic Principles & Practice of First Aid
5. Wounds, Bleeding and Shock
6. Occupational Eye Injuries
7. Handling and Transportation of the Injured
8. Fractures and Soft Tissue Injuries
9. Breathing Difficulties
10. Burn Injuries
11. The Unconscious Patient
12. Management of Medical Emergencies
13. Revision
14. OFA Assessment
15. CPR + Use of AED
16. CPR + Use of AED Assessment",Participants of this course are advised to have at least ES WPLN Level 5 & above or equivalent.,Courses,,,,,,
SINGAPORE FIRST AID TRAINING CENTRE PTE. LTD.,Child First Aid (Asynchronous and Practical),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020504200,13 Jan 25,3-5 days,Part Time,$233.00,$116.50,"Through the Child First Aid Blended Course, trainees can complete the theory modules of the course online at our e learning portal and thereafter attend a classroom training session for practical modules and assessment. Trainees will be certified for a period of 2 years in 3 modules – Standard First Aid, BCLS AED and Child First Aid by the Singapore Resuscitation and First Aid Council."," Essentials of First Aid – Definition and Aims of First Aid, Roles / Limitations of a First Aider, Universal Precautions, First Aid Kit Contents and maintenance, Primary and Secondary Survey, Record and Report, SCDF My Responder App, Difference between Child and Adult Casualties.
 Unconscious Casualty (Non – Cardiac Arrest) – Head and Spinal injuries, Heat Disorder - Heat cramps, Heat exhaustion, Heat stroke, Fever, Fits, Fainting, Low blood sugar, stroke, The recovery position and lateral position for infant
 Respiratory Problems – Adult & Infant Foreign body Airway Obstruction (Conscious & Unconscious), Asthma (Administration of MDI with spacer and facemask),
Hyperventilation, Fumes inhalation, Allergic Reaction (Administration of Adrenaline Auto Injector).
 Shock, Bleeding and Wounds – Shock, Bleeding, Wounds, Bandaging, Application of Tourniquet.
 Musculoskeletal injuries - Fracture and Dislocation, Soft tissue injuries, Immobilization & Bandaging
 Burn injuries – Burns Depth and Severity of Burns, Classification and treatment of burns, scalding, Radiation / Sunburn, Chemical, Electrical, Thermal.
 Other First Aid Knowledge – Eye injuries (Chemical, Foreign Bodies, Blunt force trauma), vomiting and diarrhoea, Common Rashes, Nose Bleeding, Poisoning,
Transportation of casualty (1 & 2 Rescuer carry, improvised methods)
 CPR (Mouth to Mouth) + AED – theory of CPR+AED, Adult CPR+AED practical,infant CPR practical",Primary PSLE,Courses,,,,,,
FOCUS LEARNING CENTRE PTE. LTD.,Perform Basic Cleaning of Hard Floor Surfaces (SF),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019500604,16 Jan 25,3-5 days,Full Time and Part Time,$420.00,$210.00,To improve the cleaning workforce knowledge and skills to handle manual general / daily cleaning of Hard Floor Surfaces,"At the end of the course, learner is able to
Prepare for cleaning activities
Remove Spillages from Hard Floor Surfaces
Remove Impacted soil from Hard Floor Surfaces
Remove Loose dust and debris from Hard Floor Surfaces
Perform Mopping of Hard Floor Surfaces
Reinstate Work Area",,Courses,,,,,,
ASCENDO ACADEMY PTE. LTD.,Workplace Safety and Health for Food and Beverage Operations (Level 2),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2023020235,14 Jan 25,1-2 days,Part Time,$190.00,$95.00,"1. Describe safety management systems in the food services industry
2. Observe organisational policies and procedures relating to WSH
3. Identify unsafe work conditions and practices
4. Maintain control measures in the work area
5. Recognise safety signs and hazard symbols
6. Use tools and equipment safely","Workplace safety and health (WSH) is an essential consideration in the food services industry.  With the potential for injuries and accidents in every aspect of food and beverage operations, it is crucial for workers to follow WSH practices in their work area to protect their safety and well-being.  Upon completion of this course, learners will acquire the knowledge and abilities to support organisational WSH by conducting checks according to work plans and instructions.","1. Age 18 and above
2. Understand spoken English 
No formal academic qualifications required as this course is suitable for rank-and-file F&B staff",Courses,,,,,,
SINGAPORE FIRST AID TRAINING CENTRE PTE. LTD.,Child First Aid Refresher (Asynchronous and Practical),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022012792,13 Jan 25,3-5 days,Part Time,$153.00,$76.50,Trainees whom have a valid Child First Aid certificate (SRFAC June 2020 syllabus) or within 3 months of expiry are required to attend the Child First Aid Blended Refresher course to renew their certificates," Essentials of First Aid – Definition and Aims of First Aid, Roles / Limitations of a First Aider, Universal Precautions, First Aid Kit Contents and maintenance, Primary and Secondary Survey, Record and Report, SCDF My Responder App, Difference between Child and Adult Casualties.
 Unconscious Casualty (Non – Cardiac Arrest) – Head and Spinal injuries, Heat Disorder - Heat cramps, Heat exhaustion, Heat stroke, Fever, Fits, Fainting, Low blood sugar, stroke, The recovery position and lateral position for infant
 Respiratory Problems – Adult & Infant Foreign body Airway Obstruction (Conscious & Unconscious), Asthma (Administration of MDI with spacer and facemask),
Hyperventilation, Fumes inhalation, Allergic Reaction (Administration of Adrenaline Auto Injector).
 Shock, Bleeding and Wounds – Shock, Bleeding, Wounds, Bandaging, Application of Tourniquet.
 Musculoskeletal injuries - Fracture and Dislocation, Soft tissue injuries, Immobilization & Bandaging
 Burn injuries – Burns Depth and Severity of Burns, Classification and treatment of burns, scalding, Radiation / Sunburn, Chemical, Electrical, Thermal.
 Other First Aid Knowledge – Eye injuries (Chemical, Foreign Bodies, Blunt force trauma), vomiting and diarrhoea, Common Rashes, Nose Bleeding, Poisoning,
Transportation of casualty (1 & 2 Rescuer carry, improvised methods)
 CPR (Mouth to Mouth) + AED – theory of CPR+AED, Adult CPR+AED practical,infant CPR practical",Primary PSLE,Courses,,,,,,
NTUC LEARNINGHUB PTE. LTD.,Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020505630,13 Jan 25,1-2 days,Full Time and Part Time,$150.00,$75.00,"Persons preparing food for sale in SFA-licensed food
establishments are required to attend and pass Food Safety
Course (FSC) Level 1.","Practise good personal hygiene
Use safe ingredients 
Handle food safely 
Store food safely 
Maintain cleanliness of equipment and premises;
Legislation and case studies; Workplace safety",Able to read and understand English,Courses,,,,,,
AVANTA ACADEMY PTE. LTD.,PWM-Food Services: Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2017501274,13 Jan 25,1-2 days,Full Time and Part Time,$150.00,$75.00,"This course is only for the low wage workers in the PWM-Food Services Sector.

Previously known as the Basic Food Hygiene Course, this 1-day Singapore Food Agency (SFA) accredited course aims to equip food handlers of both retail and non-retail food establishments with the knowledge and application skills to follow food safety and hygiene procedures and policies, as well as maintain the cleanliness and upkeep of premises.","- It is a regulatory requirement to pass this course in order to be a food handler.
- To equip you with the knowledge and skills to prepare safe and hygienic food.","Learners must be able to listen, speak, read and write English at a basic level (at least WPLN2).",Courses,,,,,,
GUILFORD TRAINING CENTRE PTE LTD,PWM-Food Services: Food Safety Course Level 1 (Chinese),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022010671,13 Jan 25,1-2 days,Full Time and Part Time,$140.00,$70.00,"This course is only for the low wage workers in the Food Services Sector.
On completion of this unit, participants will have the knowledge and skills in Follow Food & Beverage Safety and Hygiene Policies and Procedures and be able to apply them at the workplace. These include:
- practising good personal hygiene
- using safe ingredients
- handling food safely
- storing food safely
- maintaining cleanliness of utensils, equipment and service/storage areas","On completion of this unit, participants will have the knowledge and skills in Follow Food & Beverage Safety and Hygiene Policies and Procedures and be able to apply them at the workplace. These include:
- practising good personal hygiene
- using safe ingredients
- handling food safely
- storing food safely
- maintaining cleanliness of utensils, equipment and service/storage areas.",-,Courses,,,,,,
EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,PWM-Food Service: Food Safety Course Level 1 (Refresher),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2017501211,13 Jan 25,1-2 days,Full Time,$80.00,$40.00,"This course is only intended for the low wage workers in the PWM-Food Services Sector.

Food Safety Course Level 1 (Refresher) is a mandatory training program for all food and beverage staff working in SFA licensed food establishments and/or anyone interested to learn safe food preparation. This course will equip learners with food & beverage safety and hygiene policies and procedures to ensure food safety.

Thus, with effect from 30 November 2020, the Refresher Basic Food Hygiene course is now known as Food Safety Course Level 1 (Refresher).","1. Practise good personal hygiene
2. Use safe ingredients
3. Handle food safely 
4. Store food safely
5. Maintain cleanliness of equipment and premises","- No formal qualification
- Participant should have the ability to converse, read & write in English",Courses,,,,,,
XPRIENZ PTE. LTD.,PWM-Food Services: Food Safety Course Level 1 (Refresher),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2018500504,14 Jan 25,1-2 days,Part Time,$80.00,$40.00,"This course is only for the low wage workers in the PWM-Food Services Sector.
On Completion of this unit, participants will have the knowledge and skills in following food & beverage safety and hygiene policies and procedures and be able to apply them at the workplace.
- Practising good personal hygiene
- Using safe ingredients
- Handling food safely
- Storing food safely
- Maintaining cleanliness of equipment and premises","CE1: Practise Good Personal Hygiene
CE2: Use Safe Ingredients
CE3: Handle Food Safely
CE4: Store Food Safely
CE5: Maintain Cleanliness of equipment and premises",,Courses,,,,,,
EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,PWM-Food Service: Food Safety Course Level 1 (Chinese),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2021010531,13 Jan 25,1-2 days,Full Time,$150.00,$75.00,"This course is only intended for the low wage workers in the PWM-Food Services Sector.

Food Safety Course Level 1 is a mandatory training program for all food and beverage staff working in SFA licensed food establishments and/or anyone interested to learn safe food preparation.

The Singapore Food Agency (SFA), together with SkillsFuture Singapore (SSG), have revised the Follow Food & Beverage Safety and Hygiene Policies and Procedures course (also known as Basic Food Hygiene Course) and renamed it as Food Safety Course Level 1 under the TSC name of Food Safety and Hygiene Level 1 with effect from 30 November 2020.","1. Practise good personal hygiene
2. Use safe ingredients
3. Handle food safely 
4. Store food safely
5. Maintain cleanliness of equipment and premises","- No formal qualification
- Participants should have the ability to converse, read & write in Chinese",Courses,,,,,,
